Perfil de Temperatura via solucao analitica
t =  0 100
Point Temperature
0.0268 22.1173 33.2352 
0.0269 22.1184 33.2175 
0.027 22.1193 33.1995 
0.0271 22.12 33.1811 
0.0272 22.1206 33.1622 
0.0273 22.121 33.143 
0.0274 22.1212 33.1234 
0.0275 22.1212 33.1034 
0.0276 22.121 33.083 
0.0277 22.1206 33.0622 
0.0278 22.1201 33.041 
0.0279 22.1194 33.0193 
0.028 22.1185 32.9973 
0.0281 22.1174 32.9748 
0.0282 22.1161 32.952 
0.0283 22.1146 32.9287 
0.0284 22.1129 32.9049 
0.0285 22.1111 32.8808 
0.0286 22.109 32.8562 
0.0287 22.1068 32.8312 
0.0288 22.1043 32.8057 
0.0289 22.1017 32.7798 
0.029 22.0988 32.7535 
0.0291 22.0958 32.7267 
0.0292 22.0925 32.6995 
0.0293 22.089 32.6718 
0.0294 22.0853 32.6437 
0.0295 22.0814 32.6151 
0.0296 22.0773 32.586 
0.0297 22.073 32.5565 
0.0298 22.0684 32.5265 
0.0299 22.0636 32.496 
0.03 22.0586 32.4651 
