Perfil de Temperatura via solucao analitica
t X0 X1 X2 X3 X4 X5 X6
137 57.2342 54.7084 46.8786 33.0563 12.3179 -16.1943 -52.9482
137.5 57.2201 54.69 46.8484 33.0104 12.2573 -16.263 -53.0144
138 57.2058 54.6715 46.8183 32.9645 12.1968 -16.3316 -53.0805
138.5 57.1914 54.6528 46.788 32.9187 12.1364 -16.3999 -53.1464
139 57.1769 54.6341 46.7577 32.8728 12.0761 -16.4681 -53.212
139.5 57.1622 54.6152 46.7273 32.827 12.0159 -16.5361 -53.2775
140 57.1474 54.5961 46.6968 32.7812 11.9558 -16.604 -53.3429
140.5 57.1325 54.577 46.6663 32.7354 11.8959 -16.6716 -53.408
141 57.1174 54.5577 46.6357 32.6896 11.836 -16.7391 -53.4729
141.5 57.1021 54.5384 46.605 32.6438 11.7763 -16.8064 -53.5377
142 57.0867 54.5189 46.5743 32.5981 11.7167 -16.8735 -53.6023
142.5 57.0712 54.4992 46.5435 32.5523 11.6572 -16.9405 -53.6667
143 57.0555 54.4795 46.5126 32.5066 11.5977 -17.0073 -53.7309
143.5 57.0397 54.4596 46.4817 32.4609 11.5384 -17.0739 -53.7949
144 57.0238 54.4396 46.4507 32.4153 11.4792 -17.1404 -53.8588
144.5 57.0077 54.4195 46.4197 32.3696 11.4202 -17.2066 -53.9225
145 56.9915 54.3993 46.3886 32.324 11.3612 -17.2728 -53.986
145.5 56.9751 54.3789 46.3574 32.2784 11.3023 -17.3387 -54.0493
146 56.9586 54.3585 46.3262 32.2328 11.2435 -17.4045 -54.1124
146.5 56.942 54.3379 46.2949 32.1872 11.1848 -17.4701 -54.1754
147 56.9253 54.3172 46.2635 32.1417 11.1263 -17.5356 -54.2382
147.5 56.9084 54.2964 46.2321 32.0961 11.0678 -17.6009 -54.3009
148 56.8913 54.2755 46.2006 32.0506 11.0095 -17.666 -54.3634
148.5 56.8742 54.2545 46.169 32.0051 10.9512 -17.731 -54.4257
149 56.8569 54.2333 46.1374 31.9596 10.8931 -17.7958 -54.4878
149.5 56.8395 54.2121 46.1058 31.9142 10.835 -17.8604 -54.5498
150 56.8219 54.1907 46.0741 31.8687 10.7771 -17.9249 -54.6116
150.5 56.8042 54.1692 46.0423 31.8233 10.7192 -17.9893 -54.6732
151 56.7864 54.1476 46.0105 31.7779 10.6615 -18.0534 -54.7347
151.5 56.7685 54.1259 45.9786 31.7325 10.6038 -18.1175 -54.796
152 56.7504 54.1041 45.9466 31.6872 10.5463 -18.1813 -54.8571
152.5 56.7322 54.0822 45.9146 31.6418 10.4888 -18.245 -54.9181
153 56.7139 54.0601 45.8826 31.5965 10.4315 -18.3086 -54.9789
153.5 56.6954 54.038 45.8504 31.5512 10.3742 -18.372 -55.0396
154 56.6768 54.0157 45.8183 31.506 10.3171 -18.4353 -55.1001
154.5 56.6581 53.9934 45.786 31.4607 10.2601 -18.4984 -55.1604
155 56.6393 53.9709 45.7538 31.4155 10.2031 -18.5613 -55.2206
155.5 56.6204 53.9484 45.7214 31.3702 10.1462 -18.6241 -55.2807
156 56.6013 53.9257 45.689 31.3251 10.0895 -18.6868 -55.3405
156.5 56.5821 53.9029 45.6566 31.2799 10.0328 -18.7493 -55.4003
157 56.5628 53.88 45.6241 31.2347 9.97625 -18.8116 -55.4598
157.5 56.5433 53.8571 45.5915 31.1896 9.91978 -18.8738 -55.5193
158 56.5238 53.834 45.5589 31.1445 9.8634 -18.9359 -55.5785
158.5 56.5041 53.8108 45.5263 31.0994 9.80712 -18.9978 -55.6376
159 56.4843 53.7875 45.4936 31.0543 9.75094 -19.0596 -55.6966
159.5 56.4644 53.7641 45.4608 31.0093 9.69484 -19.1212 -55.7554
160 56.4443 53.7406 45.428 30.9642 9.63884 -19.1827 -55.8141
160.5 56.4242 53.717 45.3952 30.9192 9.58293 -19.2441 -55.8726
161 56.4039 53.6933 45.3623 30.8742 9.52712 -19.3053 -55.931
161.5 56.3835 53.6695 45.3293 30.8293 9.4714 -19.3664 -55.9892
162 56.363 53.6457 45.2963 30.7843 9.41577 -19.4273 -56.0473
162.5 56.3424 53.6217 45.2633 30.7394 9.36023 -19.4881 -56.1052
